UF,PIB,Pop_est_2009,classe
MINAS GERAIS,141371.28125,5689,3
TOCANTINS,21134.14648438,2525,1
PARAÍBA,233951.8125,18941,2
RIO GRANDE DO SUL,68632.7734375,7259,1
PIAUÍ,16725.6796875,5093,1
PARÁ,3058909,203049,2
TOCANTINS,19860.26953125,3300,1
TOCANTINS,63415.48046875,8492,1
MINAS GERAIS,563264.25,47244,2
BAHIA,6358135.5,591707,2
SÃO PAULO,143394.953125,8076,2
SANTA CATARINA,1234667.5,59962,2
RIO GRANDE DO SUL,92337.53125,6326,2
TOCANTINS,59609.5390625,5795,2
BAHIA,161163.734375,8895,2
MINAS GERAIS,89204.5078125,10261,1
PARÁ,166577.46875,48945,1
MINAS GERAIS,14646.60546875,2193,1
RIO GRANDE DO SUL,1244125.625,59366,2
MINAS GERAIS,52772.86328125,9713,1
MINAS GERAIS,35754.640625,11267,1
PARÁ,300338.15625,101094,1
PARANÁ,182354.265625,18660,2
GOIÁS,71342.0625,10061,1
RIO GRANDE DO SUL,115668.953125,7971,2
PARANÁ,474849.625,30295,2
PERNAMBUCO,285545.96875,58354,1
TOCANTINS,251944.96875,18719,2
SÃO PAULO,347479.03125,29398,2
GOIÁS,71073.3515625,4295,2
SANTA CATARINA,377119.4375,18708,2
RIO GRANDE DO SUL,209910.53125,19799,2
RORAIMA,146580.046875,13188,2
SERGIPE,157533.96875,15582,2
MINAS GERAIS,117942.3671875,16494,1
MINAS GERAIS,40922.234375,8637,1
SANTA CATARINA,231428.96875,11079,2
PIAUÍ,15219.06542969,4686,1
AMAZONAS,108783.34375,31012,1
SANTA CATARINA,136989.625,11489,2
RIO DE JANEIRO,83303.6875,9052,1
BAHIA,129238.140625,35416,1
ESPIRITO SANTO,174520.09375,18637,1
MINAS GERAIS,34203.63671875,3743,1
MINAS GERAIS,24735.28125,6126,1
MINAS GERAIS,510692.75,51545,2
MINAS GERAIS,624136,39509,2
PIAUÍ,9008.67675781,2676,1
RIO GRANDE DO NORTE,25890.28125,5369,1
MATO GROSSO,27307.92578125,4241,1
BAHIA,1298216.375,137810,1
SANTA CATARINA,63212.0859375,2179,3
TOCANTINS,63521.6015625,10824,1
RIO GRANDE DO NORTE,224160.21875,38404,1
SÃO PAULO,127499.703125,23735,1
MINAS GERAIS,55665.796875,11131,1
MINAS GERAIS,50577.96484375,9855,1
MINAS GERAIS,30995.88867188,5613,1
MINAS GERAIS,114920.3671875,4866,3
PARAÍBA,11492.10351562,2707,1
MINAS GERAIS,170824.125,14830,2
SÃO PAULO,3042457,107481,3
MINAS GERAIS,619228.5625,67967,1
SÃO PAULO,97524.5234375,2856,3
MINAS GERAIS,865962.75,59064,2
BAHIA,68143.1640625,16827,1
PARANÁ,23699.01367188,2808,1
AMAZONAS,40486108,1738641,3
PARAÍBA,12547.22851562,2921,1
MINAS GERAIS,28883.20703125,6728,1
ACRE,217153.859375,19697,2
GOIÁS,188344.21875,19130,2
MINAS GERAIS,78912.1640625,10049,1
SÃO PAULO,978006.125,63539,2
SÃO PAULO,100229.5703125,10542,1
PIAUÍ,10072.890625,2544,1
TOCANTINS,20361.1640625,1289,2
PIAUÍ,14268.64648438,4318,1
MARANHÃO,31905.390625,11207,1
MINAS GERAIS,29883.59179688,4315,1
MINAS GERAIS,1712842.5,349307,1
RIO GRANDE DO NORTE,17067.80664062,3730,1
BAHIA,39825.95703125,13879,1
RIO GRANDE DO SUL,129304.8671875,7374,2
ALAGOAS,620477.5,47623,2
PIAUÍ,22335.9765625,7354,1
MINAS GERAIS,55648.8046875,4165,2
PERNAMBUCO,269157.125,57243,1
CEARÁ,50276.91796875,12478,1
RIO GRANDE DO SUL,54992.50390625,2100,3
CEARÁ,76975.75,18322,1
MINAS GERAIS,1005070.625,126195,1
PARANÁ,550602.9375,33142,2
BAHIA,58247.78515625,18569,1
MINAS GERAIS,21757.00390625,3461,1
SANTA CATARINA,23165.56445312,1881,2
MINAS GERAIS,672530.5,48213,2
MINAS GERAIS,14030.48046875,2082,1
MINAS GERAIS,233659.203125,25152,1
MATO GROSSO,93218.71875,6103,2
PIAUÍ,17421.07421875,4270,1
BAHIA,70092.859375,16466,1
MINAS GERAIS,20628.4296875,4615,1
MINAS GERAIS,94946.1875,22838,1
SÃO PAULO,6574846.5,417458,2
BAHIA,31850.30078125,8880,1
MINAS GERAIS,294354.84375,23841,2
MATO GROSSO DO SUL,92977.2265625,4515,2
BAHIA,393287.0625,73859,1
SANTA CATARINA,35731.484375,2805,2
MARANHÃO,67091.46875,21121,1
RIO DE JANEIRO,622857.5,20540,3
CEARÁ,195497.71875,56236,1
MINAS GERAIS,527058.9375,23112,3
BAHIA,271794.59375,43723,1
SANTA CATARINA,47566.6953125,4383,2
SÃO PAULO,1421194,107211,2
GOIÁS,49451.97265625,3285,2
PIAUÍ,15979.00292969,5015,1
RIO GRANDE DO SUL,20166.66992188,1718,2
SÃO PAULO,43661.6171875,6520,1
ACRE,48347.30078125,5662,1
PARAÍBA,78491.8515625,20009,1
MINAS GERAIS,44734.484375,8117,1
BAHIA,404286.28125,28769,2
BAHIA,94739.7421875,24223,1
GOIÁS,292935.15625,19246,2
ALAGOAS,29789.48828125,7601,1
MATO GROSSO,523958.28125,39228,2
MINAS GERAIS,92617.0078125,19310,1
PARANÁ,220502.328125,28660,1
SÃO PAULO,38369.390625,4267,1
ESPIRITO SANTO,162151.4375,14621,2
PIAUÍ,90192.671875,20303,1
MINAS GERAIS,387824.65625,29929,2
ACRE,129641.09375,14224,1
MINAS GERAIS,77581.65625,3991,2
PIAUÍ,22621.08203125,6877,1
PIAUÍ,13511.09667969,4484,1
MINAS GERAIS,29977.31835938,3936,1
MINAS GERAIS,77404.9296875,11246,1
SÃO PAULO,2389078.25,145894,2
MATO GROSSO,98700.0546875,5028,2
MARANHÃO,17869.60351562,5217,1
PARÁ,69204.703125,24062,1
PARANÁ,1345454.625,70160,2
MINAS GERAIS,80639.375,22392,1
RIO GRANDE DO NORTE,20890.93164062,3854,1
MINAS GERAIS,154419.015625,17608,1
TOCANTINS,219720.21875,10758,2
SANTA CATARINA,857392.6875,35303,3
PIAUÍ,15585.75195312,4485,1
SÃO PAULO,632840.3125,44754,2
SÃO PAULO,39400.171875,2737,2
RIO GRANDE DO NORTE,154971.21875,8811,2
PERNAMBUCO,634199.5625,74424,1
RIO GRANDE DO SUL,54877.2421875,4673,2
PIAUÍ,15076.13085938,5614,1
PARANÁ,45573.4296875,6152,1
PERNAMBUCO,45478.7890625,12397,1
RIO GRANDE DO SUL,218234.140625,3509,4
MATO GROSSO,182842.890625,4573,3
BAHIA,658192.25,66665,2
MINAS GERAIS,13994.18945312,1818,1
MINAS GERAIS,18789.33203125,3357,1
RIO GRANDE DO NORTE,16126.94140625,2592,1
RIO GRANDE DO SUL,28861.82617188,1891,2
MATO GROSSO DO SUL,133023.96875,7465,2
PARANÁ,45365.75,5697,1
PERNAMBUCO,70767.1484375,22231,1
PARANÁ,85131.5625,10548,1
SANTA CATARINA,309743.09375,25122,2
SANTA CATARINA,118605.6171875,8145,2
MATO GROSSO,301727.3125,25605,2
RIO GRANDE DO SUL,318006.34375,24458,2
PARÁ,107944.171875,36068,1
MINAS GERAIS,37748.45703125,7069,1
PIAUÍ,23830.77539062,5759,1
GOIÁS,257722.515625,14718,2
MARANHÃO,59880.09375,14921,1
MINAS GERAIS,10992.83691406,1750,1
MARANHÃO,211566.140625,19503,2
BAHIA,48177.484375,17096,1
PARANÁ,859779.375,17537,3
MATO GROSSO,61282.00390625,5563,2
MINAS GERAIS,217759.796875,20426,2
SÃO PAULO,14688064,563107,3
PIAUÍ,192874.375,43135,1
MINAS GERAIS,33284.22265625,2938,2
PARANÁ,527268.25,33244,2
PERNAMBUCO,127078.7265625,30792,1
MINAS GERAIS,29653.39257812,8332,1
SANTA CATARINA,23290.72070312,1948,2
MINAS GERAIS,155813.703125,21200,1
MATO GROSSO,230694.578125,16090,2
PARANÁ,59509.87109375,6144,2
BAHIA,92945.0078125,12446,1
RIO GRANDE DO SUL,167418.703125,11273,2
SANTA CATARINA,227415.109375,12967,2
SANTA CATARINA,322263.875,19861,2
GOIÁS,20509.70117188,2209,1
SANTA CATARINA,2431683.25,102280,3
GOIÁS,103158.140625,3321,3
MINAS GERAIS,59628.3125,10538,1
MINAS GERAIS,191780.390625,27580,1
SÃO PAULO,29524.6484375,2548,2
MINAS GERAIS,16090.56835938,2571,1
RIO GRANDE DO SUL,87440.0546875,11022,1
SÃO PAULO,17446.89453125,1662,2
PARANÁ,165406.515625,16161,2
PIAUÍ,33827.109375,8315,1
SANTA CATARINA,258714.359375,14155,2
PIAUÍ,16912.27539062,4490,1
PERNAMBUCO,79114.109375,16706,1
SANTA CATARINA,58548.26171875,2427,3
CEARÁ,132454.375,42152,1
MINAS GERAIS,79840.859375,9821,1
MINAS GERAIS,88030.6015625,18181,1
TOCANTINS,17933.32617188,2485,1
TOCANTINS,16738.83203125,2390,1
TOCANTINS,57289.5703125,7254,1
BAHIA,88990.53125,22274,1
PARANÁ,35696.4375,3833,1
MINAS GERAIS,54647.140625,9300,1
MARANHÃO,31129.71484375,10827,1
BAHIA,41508.33203125,11061,1
BAHIA,95227.765625,28729,1
