UF,PIB,Pop_est_2009,classe
PARAÍBA,18189.4609375,4998,1
TOCANTINS,50220.328125,4653,2
RIO GRANDE DO NORTE,350788.21875,67869,1
RIO GRANDE DO NORTE,57726.13671875,11585,1
PARANÁ,38851.65234375,4365,1
PARANÁ,70627.1796875,7864,1
MARANHÃO,41257.61328125,11794,1
SANTA CATARINA,38462.61328125,3432,2
PARÁ,852967.1875,27675,3
RIO GRANDE DO SUL,93779.3671875,6407,2
MINAS GERAIS,87891.2890625,11037,1
MINAS GERAIS,14545.58398438,1951,1
SÃO PAULO,1366099.25,20720,4
MATO GROSSO,192547.828125,14078,2
RIO GRANDE DO SUL,117462.90625,5988,2
PERNAMBUCO,36315.22265625,7464,1
SANTA CATARINA,29384.24804688,2357,2
AMAZONAS,116750.1015625,31195,1
ESPIRITO SANTO,1975875.25,78658,3
CEARÁ,89467.84375,25113,1
PARAÍBA,52693.06640625,12946,1
CEARÁ,659916.25,42962,2
GOIÁS,283610.65625,21103,2
PERNAMBUCO,100163.0703125,28289,1
SÃO PAULO,50880.55078125,2613,2
SÃO PAULO,93054.9453125,7473,2
MARANHÃO,252911.84375,6890,3
PARANÁ,36311.59765625,5391,1
PERNAMBUCO,78994.1953125,23034,1
SANTA CATARINA,47939.61328125,3638,2
ESPIRITO SANTO,69701.8984375,11136,1
TOCANTINS,60872.33984375,6628,1
PIAUÍ,13126.82519531,5115,1
MINAS GERAIS,118772.3828125,14846,1
MINAS GERAIS,29089.09375,2747,2
RIO GRANDE DO SUL,95233.1640625,6722,2
SÃO PAULO,1138017,81279,2
MINAS GERAIS,45348.81640625,6300,1
TOCANTINS,35322.8828125,5070,1
MATO GROSSO DO SUL,407836.15625,20077,2
PARÁ,32318.24804688,10377,1
MINAS GERAIS,23029.76171875,2140,2
RIO GRANDE DO SUL,49243.48046875,2598,2
RIO GRANDE DO SUL,690711.4375,33551,2
PARANÁ,343282.375,21964,2
SANTA CATARINA,210702.828125,17469,2
MINAS GERAIS,111868.46875,12956,1
RIO GRANDE DO SUL,680121.875,38767,2
RIO GRANDE DO NORTE,146441.625,31518,1
CEARÁ,76518.9765625,22550,1
RIO GRANDE DO SUL,407264.375,33060,2
SANTA CATARINA,4697090,139017,3
BAHIA,27834.43945312,6417,1
PIAUÍ,11539.94238281,3201,1
ALAGOAS,56599.32421875,15863,1
MINAS GERAIS,53308.85546875,5173,2
SANTA CATARINA,97872.625,4870,2
TOCANTINS,25679.44921875,4664,1
PARAÍBA,52906.15625,12004,1
CEARÁ,206077.078125,36493,1
MINAS GERAIS,362894.21875,11593,3
MATO GROSSO DO SUL,11645484,755107,2
GOIÁS,16679.578125,2370,1
SANTA CATARINA,186795.125,10748,2
MINAS GERAIS,101948.3046875,9333,2
SANTA CATARINA,100527.7578125,6392,2
TOCANTINS,934583.625,74357,2
RONDÔNIA,88993.171875,8913,2
GOIÁS,49571.890625,6031,1
PARANÁ,519706.75,26998,2
MINAS GERAIS,40828.19140625,4182,2
SÃO PAULO,108116.234375,9706,2
SANTA CATARINA,1179397.125,55489,2
RIO GRANDE DO NORTE,87246.09375,15017,1
MINAS GERAIS,467006.375,22555,2
RIO GRANDE DO SUL,21380.43359375,1926,2
PARAÍBA,22382.828125,6141,1
PARANÁ,32365.92578125,4083,1
RIO GRANDE DO NORTE,16883.234375,4039,1
RIO GRANDE DO NORTE,19215.29296875,3807,1
ALAGOAS,400757.65625,62727,1
MINAS GERAIS,27105.78320312,3757,1
MINAS GERAIS,86572.0078125,16643,1
RIO GRANDE DO SUL,44029.72265625,3676,2
MINAS GERAIS,21314.23242188,2427,1
MINAS GERAIS,1070732,157438,1
MINAS GERAIS,37053.9765625,4232,1
ACRE,204410.5625,18235,2
MINAS GERAIS,21112.73632812,2976,1
MINAS GERAIS,26897.79492188,4412,1
SANTA CATARINA,304213.6875,17522,2
PIAUÍ,15906.55566406,4146,1
PERNAMBUCO,111614.5859375,8214,2
MINAS GERAIS,28054.515625,2938,1
ESPIRITO SANTO,65357.9140625,9672,1
GOIÁS,34522.12109375,3706,1
GOIÁS,18451.34960938,2144,1
RIO GRANDE DO SUL,34130.4921875,2471,2
SÃO PAULO,624309.8125,43245,2
TOCANTINS,47001.5859375,9203,1
CEARÁ,34297.74609375,11768,1
MATO GROSSO,183400.921875,19493,1
SANTA CATARINA,1501101,76514,2
RIO GRANDE DO SUL,6280858,196337,3
PARAÍBA,26236.60351562,7243,1
RIO GRANDE DO NORTE,60654.46875,11215,1
SÃO PAULO,5427421.5,182045,3
SANTA CATARINA,27839.12890625,2065,2
MINAS GERAIS,155607.109375,17805,1
RIO GRANDE DO NORTE,58391.62890625,11525,1
MINAS GERAIS,24456.54101562,4661,1
PARANÁ,43655.65625,6753,1
AMAZONAS,202660.984375,47948,1
SANTA CATARINA,68567,3048,3
RORAIMA,111137.0234375,10726,2
BAHIA,31431.71484375,9325,1
MARANHÃO,57368.6171875,13384,1
MINAS GERAIS,239440.546875,23258,2
PARANÁ,103898.0078125,10354,2
PARAÍBA,118204.2109375,25463,1
RIO GRANDE DO SUL,32741.546875,1791,2
MARANHÃO,68815.1953125,23074,1
PIAUÍ,429720.625,57968,1
PARANÁ,102136.7578125,13533,1
GOIÁS,233394.609375,58474,1
MINAS GERAIS,19697.57226562,3526,1
BAHIA,52461.01171875,14162,1
MARANHÃO,107963.34375,35108,1
RIO DE JANEIRO,81305.15625,9556,1
SÃO PAULO,2407399.25,114515,2
GOIÁS,19388.31835938,2203,1
PERNAMBUCO,38436.953125,7833,1
MARANHÃO,148248.078125,50354,1
MINAS GERAIS,18955.78125,4787,1
MARANHÃO,185824.765625,41303,1
SÃO PAULO,253338.09375,23060,2
SÃO PAULO,255420.546875,33583,1
SÃO PAULO,210455.484375,2742,4
SANTA CATARINA,1650183.625,70393,3
SÃO PAULO,320347.21875,13386,3
PARANÁ,1511202.25,121290,2
MINAS GERAIS,108061.46875,14790,1
RIO GRANDE DO SUL,277202.40625,15216,2
PERNAMBUCO,19219.95507812,4358,1
MINAS GERAIS,133684.859375,3986,3
RIO GRANDE DO SUL,28525.84765625,3311,1
MINAS GERAIS,19152.56445312,4636,1
MINAS GERAIS,16147.79492188,2993,1
MATO GROSSO,65186.01953125,8329,1
CEARÁ,33190.703125,9971,1
SÃO PAULO,37278.69921875,4118,1
RIO GRANDE DO SUL,28719.18554688,1776,2
BAHIA,229213.171875,14714,2
SÃO PAULO,48696.28515625,4217,2
RIO DE JANEIRO,1810872.25,19878,4
SÃO PAULO,70778.8984375,10254,1
PIAUÍ,17753.984375,5495,1
MINAS GERAIS,89496.1796875,13301,1
PERNAMBUCO,59924.1796875,15230,1
BAHIA,105232.5078125,24415,1
BAHIA,49422.328125,14837,1
SÃO PAULO,56413.41796875,4992,2
MINAS GERAIS,82634.859375,11218,1
MARANHÃO,45696.53125,8863,1
PARANÁ,682697.9375,56483,2
GOIÁS,332653.25,40469,1
PIAUÍ,23011.68359375,8370,1
SERGIPE,13834.29785156,2907,1
MINAS GERAIS,55267.80078125,8881,1
SANTA CATARINA,326972.25,19323,2
SÃO PAULO,531913.5,34424,2
MINAS GERAIS,51452.1875,4374,2
PARANÁ,149617.28125,12784,2
SÃO PAULO,49894.515625,3407,2
AMAPÁ,107248.828125,9291,2
ESPIRITO SANTO,197230.15625,18856,2
ALAGOAS,32711.80273438,11504,1
SÃO PAULO,252515.78125,30675,1
BAHIA,102075.2734375,27170,1
RIO GRANDE DO SUL,41730.37890625,3391,2
CEARÁ,169606.5625,44211,1
ALAGOAS,98153.7734375,25290,1
RIO GRANDE DO NORTE,109494.6875,20676,1
PARANÁ,67708.015625,5163,2
PARANÁ,93202.4921875,8235,2
GOIÁS,362217.96875,24033,2
RIO GRANDE DO SUL,798197,59337,2
RIO GRANDE DO SUL,153711.953125,5039,3
MINAS GERAIS,130177.796875,6792,2
PARANÁ,637894.1875,39857,2
PERNAMBUCO,543937.5,80294,1
SÃO PAULO,144238.203125,6345,3
PARANÁ,60953.90625,5753,2
PARANÁ,102978.7890625,5924,2
SÃO PAULO,36065.66015625,4245,1
MINAS GERAIS,37746.41796875,3938,1
RONDÔNIA,69908.515625,7944,1
RIO GRANDE DO NORTE,39116.64453125,8629,1
SÃO PAULO,465391.53125,20168,3
PARANÁ,21127.85546875,1494,2
PERNAMBUCO,59477.77734375,15365,1
RIO GRANDE DO SUL,197372.390625,12201,2
BAHIA,77047.1640625,20930,1
ALAGOAS,27549.03125,7062,1
PIAUÍ,25927.50585938,8552,1
ALAGOAS,68499.6875,25854,1
SÃO PAULO,369008.0625,24485,2
PARANÁ,148181.59375,12309,2
SÃO PAULO,199326.484375,23779,1
PARANÁ,36764.2578125,5134,1
MARANHÃO,277077.53125,56633,1
MINAS GERAIS,37165.37890625,11588,1
RIO GRANDE DO SUL,49996.953125,4635,2
TOCANTINS,152885.484375,26771,1
MINAS GERAIS,687477.875,57654,2
TOCANTINS,110298.09375,14655,1
PERNAMBUCO,315104.03125,55435,1
SÃO PAULO,43545.33984375,5618,1
MARANHÃO,59104.46484375,14808,1
MINAS GERAIS,234536.9375,15043,2
SÃO PAULO,78237.4609375,5785,2
BAHIA,76238.53125,17080,1
SANTA CATARINA,1693864.25,130878,2
SÃO PAULO,84924.5390625,7672,2
GOIÁS,33231.0546875,3341,2
MINAS GERAIS,262661.75,14611,2
BAHIA,43216.1328125,14316,1
PERNAMBUCO,106317.171875,22120,1
PERNAMBUCO,63237.58984375,13265,1
PARAÍBA,146767.578125,28468,1
MATO GROSSO,129650.5390625,5061,3
MINAS GERAIS,31461.02148438,5925,1
SANTA CATARINA,48069.1328125,3128,2
PERNAMBUCO,121253.921875,29875,1
BAHIA,3142676.75,318901,2
PERNAMBUCO,92091.6328125,17924,1
RONDÔNIA,326336.875,34693,1
PARAÍBA,108521.9921875,27951,1
MINAS GERAIS,25285.09570312,5362,1
PARÁ,244986.21875,47772,1
SÃO PAULO,435658.78125,39160,2
SÃO PAULO,81859.9609375,2780,3
BAHIA,64649.53125,17210,1
BAHIA,523242.1875,79013,1
RIO GRANDE DO SUL,191053.515625,21180,1
RIO GRANDE DO SUL,168315.0625,15096,2
MINAS GERAIS,48332.01171875,10588,1
GOIÁS,90110.171875,9518,1
RIO GRANDE DO NORTE,1963383.5,184222,2
MINAS GERAIS,51101.86328125,3398,2
PARANÁ,49819.625,3260,2
PARANÁ,430093.0625,31397,2
BAHIA,57532.8671875,16590,1
SÃO PAULO,8324691,273426,3
SÃO PAULO,68719.6796875,4691,2
SÃO PAULO,3043796.25,73631,3
PARÁ,81680.953125,22459,1
CEARÁ,68998.65625,22695,1
RIO GRANDE DO SUL,86025.9296875,7394,2
ALAGOAS,25780.65820312,6178,1
PARANÁ,81526.875,6066,2
PARÁ,79299.140625,25511,1
PIAUÍ,31609.2890625,6793,1
RIO GRANDE DO NORTE,13935.78613281,2703,1
SERGIPE,7069448,544039,2
SÃO PAULO,787616.25,37534,2
MARANHÃO,28271.05273438,3950,1
MATO GROSSO,91460.1015625,9595,1
BAHIA,48083.140625,8618,1
MARANHÃO,316422.09375,77182,1
BAHIA,246394.6875,48206,1
SÃO PAULO,520704.3125,19700,3
RIO GRANDE DO SUL,96666.890625,4912,2
PARANÁ,122608.90625,11747,2
SANTA CATARINA,33004.6796875,2687,2
CEARÁ,149833.015625,35166,1
BAHIA,173949.265625,31819,1
SÃO PAULO,472912.3125,28936,2
GOIÁS,708512.5625,32304,2
RIO GRANDE DO NORTE,13287.04785156,2115,1
MARANHÃO,28483.0703125,6997,1
MINAS GERAIS,23972.3203125,4728,1
SÃO PAULO,53295.08203125,4779,2
SÃO PAULO,56594.77734375,6896,1
SANTA CATARINA,57065.5078125,3674,2
BAHIA,49661.08984375,13269,1
RIO DE JANEIRO,145481.40625,10891,2
SÃO PAULO,78831.6953125,11197,1
RIO GRANDE DO SUL,188674.734375,7531,3
SERGIPE,31870.4765625,5809,1
PERNAMBUCO,430601.3125,99945,1
BAHIA,93716.921875,27180,1
AMAZONAS,84273.59375,16291,1
MINAS GERAIS,125487.59375,15916,1
MINAS GERAIS,1693002.375,79813,2
PIAUÍ,9199.64355469,2315,1
SANTA CATARINA,1083196.5,50917,2
BAHIA,119276.578125,31832,1
MINAS GERAIS,65097.45703125,12778,1
MINAS GERAIS,23538.46875,4772,1
PERNAMBUCO,82603.203125,18723,1
SÃO PAULO,161548.0625,12410,2
MARANHÃO,92080.375,29551,1
MINAS GERAIS,2492686.75,69495,3
CEARÁ,103936.859375,32231,1
PARANÁ,55714.39453125,7928,1
SÃO PAULO,94819.8359375,5406,2
BAHIA,49816.65234375,14459,1
RIO GRANDE DO SUL,48154.8359375,1877,3
SÃO PAULO,95465.484375,9952,1
RIO GRANDE DO SUL,52567.12109375,3232,2
RIO GRANDE DO NORTE,26589.734375,5224,1
ALAGOAS,30879.77734375,5902,1
BAHIA,1552451.5,150541,2
SÃO PAULO,293537.84375,28455,2
CEARÁ,37783.76171875,11198,1
PARANÁ,150128.484375,13760,2
CEARÁ,76601.1171875,17802,1
RIO DE JANEIRO,7057281.5,194413,3
GOIÁS,160824.359375,18618,1
PERNAMBUCO,44609.3125,12451,1
MINAS GERAIS,13781.93164062,2205,1
RIO DE JANEIRO,3502626.5,16253,5
CEARÁ,242443.71875,56639,1
MINAS GERAIS,66597.8359375,10941,1
MINAS GERAIS,251976.84375,24825,2
GOIÁS,36711.6953125,4599,1
PARAÍBA,24999.93164062,6198,1
SÃO PAULO,39628.15625,2040,2
MATO GROSSO,908566.25,18989,3
SÃO PAULO,1631338.625,112011,2
TOCANTINS,12126.01464844,1683,1
RIO GRANDE DO SUL,79309.03125,4685,2
MATO GROSSO,148853.84375,8381,2
TOCANTINS,17476.70117188,2321,1
PERNAMBUCO,37656.3515625,9703,1
MINAS GERAIS,245850.359375,7105,3
SÃO PAULO,389872.96875,17938,2
PARAÍBA,286072.875,20064,2
SÃO PAULO,88336.4296875,10822,1
SÃO PAULO,232642.84375,13305,2
PARAÍBA,100224.0078125,17839,1
MARANHÃO,39601.421875,12511,1
MINAS GERAIS,44854.86328125,3229,2
MINAS GERAIS,22509.8046875,2655,1
RIO GRANDE DO SUL,76856.4765625,4094,2
GOIÁS,51348.8828125,3856,2
PERNAMBUCO,7082403,75512,4
CEARÁ,105931.96875,20627,1
RIO GRANDE DO SUL,69552.2109375,5159,2
MARANHÃO,48036.515625,14909,1
MINAS GERAIS,110897.609375,9549,2
BAHIA,55787.8046875,18738,1
MARANHÃO,50201.11328125,16911,1
SÃO PAULO,38104.7421875,4055,1
PARÁ,62534.5625,27386,1
MINAS GERAIS,42667.08984375,6235,1
BAHIA,102757.34375,22960,1
SÃO PAULO,73476.2578125,10121,1
PARAÍBA,14881.45996094,3168,1
PIAUÍ,13982.046875,4733,1
MATO GROSSO,38595.01171875,2345,2
SÃO PAULO,137605.546875,11354,2
PARAÍBA,23567.55078125,5702,1
CEARÁ,24669.0703125,7332,1
BAHIA,125397.140625,35990,1
MINAS GERAIS,29338.85351562,7677,1
RIO GRANDE DO NORTE,11909.32226562,2449,1
PARÁ,49183.3671875,15841,1
SÃO PAULO,86357.6171875,2662,3
SÃO PAULO,546444.5625,46505,2
SANTA CATARINA,46444.15234375,4200,2
MINAS GERAIS,109678.1484375,26983,1
PIAUÍ,153536.328125,36485,1
PERNAMBUCO,290683.65625,64454,1
GOIÁS,24790.08984375,2111,2
GOIÁS,36729.203125,3729,2
AMAZONAS,67153.0078125,20286,1
RIO GRANDE DO NORTE,144216.40625,30541,1
SANTA CATARINA,1205661,56395,2
BAHIA,17013.38867188,3502,1
MINAS GERAIS,24955.75195312,4412,1
MINAS GERAIS,19717.74804688,2981,1
RORAIMA,141954.3125,14205,2
PIAUÍ,10104.80957031,3323,1
SANTA CATARINA,1591460.375,96529,2
SÃO PAULO,35924.9140625,1522,3
RIO GRANDE DO SUL,370663.5625,41115,1
MINAS GERAIS,44721.078125,5828,1
PARANÁ,102151.6015625,11939,1
MINAS GERAIS,342731.84375,39214,1
BAHIA,80988.609375,19388,1
SÃO PAULO,204742.140625,15883,2
PARANÁ,182986.6875,18100,2
GOIÁS,901832.5,38504,3
RIO GRANDE DO NORTE,708533.8125,66380,2
BAHIA,51422.97265625,15613,1
PARANÁ,452659.625,26451,2
RIO GRANDE DO NORTE,15742.34960938,3631,1
MINAS GERAIS,97946.8125,11426,1
MINAS GERAIS,31063.99609375,5330,1
SÃO PAULO,86788.875,7033,2
SERGIPE,32150.49804688,5875,1
SANTA CATARINA,252274.234375,22263,2
ACRE,28091.17382812,4358,1
SÃO PAULO,34264.3203125,4396,1
PIAUÍ,34505.06640625,4710,1
TOCANTINS,88327.65625,6723,2
GOIÁS,42713.81640625,3317,2
MINAS GERAIS,19299.72265625,3156,1
PARANÁ,426821.1875,42002,2
RIO GRANDE DO SUL,148094.75,3248,3
PERNAMBUCO,211137.0625,39317,1
PARANÁ,1529310.625,97329,2
CEARÁ,41727.48046875,13820,1
SANTA CATARINA,61478.05078125,3685,2
SÃO PAULO,371031.375,31329,2
ESPIRITO SANTO,2399003.25,201259,2
RIO GRANDE DO SUL,78099.75,5910,2
GOIÁS,217922.734375,23142,1
MINAS GERAIS,75479.171875,14585,1
SÃO PAULO,175754.640625,11028,2
PARANÁ,108368.859375,11774,1
RIO GRANDE DO NORTE,26936.34179688,6616,1
MATO GROSSO DO SUL,693041.5625,45627,2
SÃO PAULO,2625614.75,126757,2
MINAS GERAIS,25831.9375,6485,1
PIAUÍ,20146.16015625,6461,1
RIO GRANDE DO SUL,109764.3515625,4299,3
PIAUÍ,17245.60742188,5458,1
BAHIA,292867.1875,62893,1
BAHIA,53547.6875,14260,1
ESPIRITO SANTO,401526.25,27059,2
BAHIA,58437.6796875,17666,1
GOIÁS,82713.7421875,6914,2
PARAÍBA,3894133.5,383764,2
BAHIA,74545.8046875,25262,1
BAHIA,415895,66061,1
BAHIA,148739.390625,22752,1
PIAUÍ,34292.40625,8734,1
SÃO PAULO,89564.65625,4439,2
BAHIA,110698.2578125,22151,1
GOIÁS,26288.5234375,2906,1
MINAS GERAIS,67873.515625,8582,1
SÃO PAULO,2780735.25,249551,2
GOIÁS,21822.19921875,2157,2
PARÁ,76142.9296875,28091,1
MATO GROSSO DO SUL,414671.5,19228,2
PIAUÍ,27634.43945312,5209,1
SÃO PAULO,487728.96875,37471,2
PARANÁ,39173.65234375,4934,1
PARANÁ,45762420,1851215,3
SÃO PAULO,428017,9042,3
MINAS GERAIS,308069.5,23986,2
RIO GRANDE DO SUL,79944.40625,2997,3
MINAS GERAIS,44507.5625,10934,1
SÃO PAULO,57313.17578125,2661,2
SANTA CATARINA,60104.18359375,4555,2
RIO DE JANEIRO,168745.65625,14770,2
BAHIA,62426.8046875,14194,1
ALAGOAS,33409.52734375,10865,1
RIO GRANDE DO SUL,190121.703125,9673,2
TOCANTINS,15878.50195312,2968,1
BAHIA,121918.3125,27158,1
MATO GROSSO,32239.96875,2955,2
SÃO PAULO,327024.03125,22514,2
MINAS GERAIS,34777.21484375,4716,1
SÃO PAULO,753584.625,36188,2
PIAUÍ,23638.20117188,8378,1
BAHIA,1745979.625,243896,1
MINAS GERAIS,16759.16015625,3654,1
BAHIA,84668.9140625,11620,1
MINAS GERAIS,42513.58984375,7161,1
RIO GRANDE DO SUL,528960.375,43388,2
PARAÍBA,40357.0546875,6737,1
SÃO PAULO,151365.1875,14389,2
RIO GRANDE DO SUL,328562.90625,14733,3
SANTA CATARINA,442331.40625,51691,1
GOIÁS,14530.07128906,2915,1
SÃO PAULO,32694.49609375,4131,1
PARAÍBA,23577.13867188,6457,1
TOCANTINS,67903.1875,2149,3
RIO GRANDE DO NORTE,99753.359375,23593,1
RIO GRANDE DO NORTE,39951.48046875,9203,1
MATO GROSSO DO SUL,114866.703125,6031,2
MARANHÃO,15337347,997098,2
MINAS GERAIS,43979.26953125,12099,1
TOCANTINS,19921.65429688,4441,1
MATO GROSSO DO SUL,175220.859375,16506,2
PARANÁ,324484.21875,19421,2
SÃO PAULO,226146.0625,19085,2
SÃO PAULO,82653.4609375,6992,2
MARANHÃO,15975.88769531,4869,1
RIO GRANDE DO NORTE,61343.26953125,14151,1
MATO GROSSO,125273.625,10748,2
BAHIA,41634.6484375,12355,1
MINAS GERAIS,26079.7265625,6217,1
SÃO PAULO,75944.7265625,6239,2
MATO GROSSO,73640.671875,5252,2
SÃO PAULO,110655.3046875,11141,2
SANTA CATARINA,127265.7109375,11121,2
PARAÍBA,194858.921875,40323,1
RIO GRANDE DO SUL,130695.2578125,6979,2
RIO GRANDE DO SUL,48317.95703125,5031,1
PARAÍBA,48926.3515625,13470,1
BAHIA,32104.37109375,10495,1
BAHIA,128748.09375,22180,1
MINAS GERAIS,193952.3125,20854,1
RIO GRANDE DO SUL,75226.9296875,7134,2
RONDÔNIA,520219.5625,50499,2
RIO DE JANEIRO,756277.1875,75819,2
GOIÁS,29268.20703125,3908,1
SANTA CATARINA,498226.28125,36629,2
RIO GRANDE DO SUL,83511.515625,8891,1
RIO GRANDE DO SUL,42928.94140625,2996,2
ESPIRITO SANTO,112031.0859375,11097,2
RIO GRANDE DO NORTE,14319.33789062,3008,1
RIO GRANDE DO SUL,42941.70703125,4124,2
SÃO PAULO,1736231.125,42458,3
PARANÁ,54613.16796875,8283,1
PARANÁ,26489.55859375,2733,2
SANTA CATARINA,66016.4921875,4515,2
MINAS GERAIS,55482.6015625,13717,1
SÃO PAULO,890737.9375,59597,2
MATO GROSSO,3000096,240038,2
GOIÁS,192856.984375,25170,1
CEARÁ,65062.3125,16755,1
RIO GRANDE DO NORTE,15413.375,2858,1
BAHIA,19471.34375,4468,1
PARANÁ,112364.609375,12733,1
ALAGOAS,53292.31640625,14435,1
RIO GRANDE DO NORTE,39029.37890625,8357,1
GOIÁS,56638.41796875,6787,1
PIAUÍ,20682.10351562,5217,1
RIO GRANDE DO SUL,926080.9375,62831,2
PERNAMBUCO,558914.875,24406,3
MINAS GERAIS,28661.23828125,6321,1
MARANHÃO,33425.34375,10191,1
PARAÍBA,45638.9375,10495,1
RIO GRANDE DO SUL,123020.5,4635,3
RONDÔNIA,54467.28515625,5010,2
ESPIRITO SANTO,184262.125,13302,2
RIO GRANDE DO SUL,234290.609375,14274,2
RIO GRANDE DO SUL,919009.875,60388,2
PARAÍBA,29296.59179688,8301,1
CEARÁ,25400.77148438,6891,1
SÃO PAULO,51556.1796875,4344,2
PARANÁ,146640.046875,6531,3
PIAUÍ,48489.2109375,13544,1
PARAÍBA,11251.95605469,2425,1
PARANÁ,133879.640625,13463,2
SANTA CATARINA,32284.01757812,2720,2
CEARÁ,137984.875,29576,1
SANTA CATARINA,316423.46875,6004,4
MARANHÃO,121741.4453125,25473,1
GOIÁS,60013.33984375,11663,1
SANTA CATARINA,80997.3125,4345,2
BAHIA,92821.9609375,28143,1
MINAS GERAIS,148854.140625,10648,2
SANTA CATARINA,109334.2265625,6112,2
MINAS GERAIS,1088261.375,99708,2
ALAGOAS,152409.21875,26030,1
PARAÍBA,21960.3359375,5905,1
MINAS GERAIS,127580.828125,8476,2
SANTA CATARINA,343808.21875,24419,2
GOIÁS,172800.28125,16687,2
AMAZONAS,149755.40625,31221,1
PIAUÍ,32157.57226562,11941,1
BAHIA,64516.0703125,10516,1
MINAS GERAIS,236816.796875,33182,1
MINAS GERAIS,186775.015625,13719,2
RIO GRANDE DO SUL,1810064.5,72208,3
MINAS GERAIS,45720.21484375,6657,1
ALAGOAS,131020.25,26044,1
PARAÍBA,25847.86132812,6731,1
SÃO PAULO,5786553,129582,3
SÃO PAULO,614539.25,57686,2
PARANÁ,275256.84375,20856,2
MATO GROSSO DO SUL,600119.8125,27903,2
PARÁ,106980.84375,35241,1
SÃO PAULO,45157.06640625,7674,1
SANTA CATARINA,114630.8203125,6278,2
SANTA CATARINA,229696.15625,11259,2
RIO GRANDE DO NORTE,22491.91796875,5475,1
RIO GRANDE DO SUL,218809.78125,20306,2
PARÁ,218164.859375,21327,2
TOCANTINS,25153.91992188,4541,1
ESPIRITO SANTO,72256.3984375,10965,1
SANTA CATARINA,85683.1484375,8241,2
RIO GRANDE DO SUL,350329.9375,23911,2
SÃO PAULO,56512.4609375,4663,2
GOIÁS,160105.703125,28012,1
SÃO PAULO,15150.56835938,2184,1
MINAS GERAIS,26006.234375,2877,1
CEARÁ,64205.171875,19605,1
MATO GROSSO,23329.37109375,2598,1
PARÁ,53906.359375,15097,1
SANTA CATARINA,312452.71875,15229,2
MATO GROSSO,203422.328125,18497,2
MARANHÃO,32579.3203125,12493,1
MINAS GERAIS,98593.671875,5869,2
MINAS GERAIS,291246,59408,1
BAHIA,101273.8515625,26355,1
RIO GRANDE DO SUL,50805.16015625,3392,2
TOCANTINS,34883.89453125,1474,3
SÃO PAULO,259788.671875,26626,2
MINAS GERAIS,211587.421875,20934,2
RIO GRANDE DO SUL,54939.72265625,5959,1
SERGIPE,42030.453125,7466,1
GOIÁS,38439.57421875,3761,2
PARANÁ,26970.328125,4205,1
SANTA CATARINA,79492.6875,7318,2
MINAS GERAIS,168376.484375,9143,2
PARAÍBA,23932.7890625,6441,1
PARANÁ,34552.42578125,4313,1
PARANÁ,1252597.625,99606,2
PARANÁ,158137.84375,15227,2
PARAÍBA,80626.984375,19566,1
GOIÁS,58360.9765625,7020,1
BAHIA,1051444.375,125430,1
SANTA CATARINA,33398.140625,3274,2
MINAS GERAIS,70246.2734375,10821,1
SÃO PAULO,150425.203125,18110,1
RIO GRANDE DO SUL,45459.1953125,2108,2
GOIÁS,330241.3125,21679,2
SÃO PAULO,5815328.5,33251,5
TOCANTINS,278386.28125,9018,3
SERGIPE,80919.0703125,13502,1
RIO GRANDE DO NORTE,33648.24609375,7083,1
BAHIA,169157.046875,49827,1
SANTA CATARINA,2376554.25,167805,2
RIO GRANDE DO SUL,155682.796875,12752,2
BAHIA,26828.51171875,6621,1
PARAÍBA,20743.28710938,4417,1
BAHIA,24953.62890625,7834,1
CEARÁ,26677.58007812,8900,1
RIO GRANDE DO SUL,72431.109375,3125,3
BAHIA,107699.890625,27724,1
MARANHÃO,119718.2265625,15668,1
MATO GROSSO DO SUL,179690.8125,15276,2
MINAS GERAIS,46791.9375,7692,1
MARANHÃO,57988.171875,14491,1
PARAÍBA,12417.97558594,3025,1
MATO GROSSO DO SUL,776504.3125,32492,3
SÃO PAULO,1460157.5,13208,4
PARAÍBA,22089.37304688,5799,1
SANTA CATARINA,138945.046875,10857,2
PERNAMBUCO,54108.05078125,11619,1
PIAUÍ,16148.84179688,5304,1
AMAZONAS,123005.4375,30901,1
RIO GRANDE DO SUL,218504.484375,10468,2
RIO GRANDE DO SUL,877885.9375,84079,2
CEARÁ,441188.8125,67960,1
MINAS GERAIS,45180.23828125,10989,1
SANTA CATARINA,594450.25,35249,2
RIO GRANDE DO SUL,34529.40234375,2336,2
MARANHÃO,36639.984375,10639,1
MINAS GERAIS,25874.4921875,6440,1
ESPIRITO SANTO,151559.609375,11901,2
ESPIRITO SANTO,531211.4375,33921,2
RIO DE JANEIRO,4596004.5,186004,3
BAHIA,130961.890625,31809,1
PARAÍBA,8848.55664062,2159,1
MINAS GERAIS,50035.23828125,5756,1
TOCANTINS,83094.609375,12068,1
MINAS GERAIS,93541.875,12265,1
GOIÁS,690698.125,123444,1
BAHIA,63719.88671875,14528,1
PARAÍBA,104586.7578125,25648,1
MINAS GERAIS,486778.3125,32580,2
MINAS GERAIS,229405,20536,2
SÃO PAULO,784365.25,39696,2
TOCANTINS,40720.05078125,5426,1
TOCANTINS,31869.46289062,3983,1
PARAÍBA,34872.84375,7998,1
MINAS GERAIS,170642.765625,37388,1
SERGIPE,90880.03125,19101,1
MINAS GERAIS,217757.765625,20160,2
