CODIGO DA ENTIDADE,NUMERO DE PARTICIPANTES,Classificacao
35125817,34,2
35125908,10,2
35126615,51,2
35126640,18,2
35126718,61,4
35126895,19,2
35126974,50,4
35127115,57,3
35127991,24,4
35128120,11,2
35128200,94,2
35130205,44,2
35130254,55,3
35130369,45,2
35130540,89,2
35130758,120,2
35130916,13,2
35130928,35,2
35131039,45,2
35131064,22,3
35131490,16,2
35131507,52,3
35131623,14,2
35131660,77,3
35131738,12,2
35131805,34,2
35131945,85,4
35132044,13,2
35132056,15,2
35132123,197,2
35132160,18,2
35132214,190,3
35132238,33,2
35132287,120,4
35132329,21,2
35132559,39,3
35132986,22,3
35133115,24,4
35133152,10,2
35133176,14,2
35133346,29,2
35133395,138,3
35133401,55,2
35133450,41,2
35133462,15,2
35133498,23,2
35133541,19,2
35133565,11,2
35133723,13,2
35133735,17,2
35133942,10,2
35134120,10,2
35134132,33,2
35134168,237,2
35134569,11,2
35134673,32,2
35134788,22,3
35134806,488,4
35135057,30,2
35135094,24,3
35135136,72,2
35135148,285,3
35135203,124,3
35135227,98,3
35135288,67,4
35135434,40,2
35135446,37,2
35135471,14,2
35135525,20,3
35135549,50,2
35135550,20,2
35135562,19,2
35135586,49,2
35135720,14,2
35136359,37,2
35136396,11,2
35136463,51,2
35136566,12,3
35136759,24,2
35136918,12,2
35136931,251,4
35136943,66,2
35137042,38,2
35137066,15,2
35137078,26,2
35137085,34,2
35137108,40,2
35137133,38,4
35137157,23,2
35137397,85,3
35137418,36,2
35137650,22,2
35137716,36,2
35137753,84,2
35137947,32,2
35137960,52,2
35137972,50,2
35138009,35,2
35138198,14,2
35138216,15,2
35138253,14,2
35138265,13,2
35138575,48,2
35138988,11,2
35139051,13,2
35139099,17,2
35139129,101,2
35139142,17,2
35139191,17,2
35139208,23,2
35139221,34,2
35139233,36,2
35139270,35,2
35139497,54,4
35139580,36,2
35139609,36,2
35139610,45,2
35139622,10,2
35139646,76,3
35139774,27,2
35139804,40,2
35140004,45,2
35140132,26,2
35140144,113,2
35140181,22,2
35140200,11,2
35140314,21,2
35140326,19,2
35140338,39,4
35140348,30,2
35140351,81,3
35140363,18,2
35140788,19,2
35140806,31,2
35140824,16,2
35140831,24,2
35140880,45,2
35140934,25,2
35141159,26,2
35141240,75,4
35141264,15,2
35141297,14,2
35141331,15,2
35141367,95,2
35141446,25,2
35141483,28,2
35141495,27,2
35141501,11,2
35141689,79,2
35141768,20,1
35141773,31,2
35141811,127,2
35142013,45,3
35142281,14,4
35142311,30,2
35142359,35,3
35142360,20,2
35142505,10,2
35142529,21,2
35142612,83,3
35142682,42,3
35142700,11,2
35142724,48,2
35142736,62,4
35142759,69,2
35142864,19,2
35142888,28,2
35142967,202,4
35143029,23,2
35143157,37,2
35143200,102,3
35143406,14,3
35143571,32,2
35143595,31,3
35143649,37,2
35143959,53,2
35144034,27,3
35144125,19,2
35144150,16,3
35144186,23,3
35144204,18,2
35144216,24,4
35144228,83,3
35144241,27,2
35144307,14,2
35144373,15,2
35144459,27,2
35144721,29,2
35144733,19,2
35144745,75,2
35144770,21,2
35144824,17,3
35144952,139,3
35150162,12,2
35150198,49,2
35150228,16,2
35150253,12,1
35150265,52,2
35150289,12,2
35150344,38,2
35150373,25,2
35150548,32,2
35150551,20,2
35150733,11,2
35150885,106,3
35151191,11,2
35151385,47,2
35151506,72,3
35151518,37,2
35151725,13,2
35151774,47,2
35151798,25,3
35151836,21,2
35151889,44,2
35151907,13,2
35152195,11,2
35152511,11,2
35152523,17,2
35152729,114,4
35152754,18,3
35152785,28,2
35152900,18,1
35153084,18,2
35153114,19,2
35153163,35,4
35153187,11,2
35153278,18,2
35153285,14,2
35153497,17,2
35153503,20,2
35153564,27,1
35153631,23,2
35153643,18,2
35153692,10,2
35153771,23,2
35153801,25,2
35153825,46,2
